Classifier,Number samples,Time,accuracy_score,f1_score,recall_score
naive_bayes,1000,0.5669,0.6744,0.6961,0.6744
naive_bayes,2000,0.5635,0.7820,0.7884,0.7820
naive_bayes,3000,0.5697,0.8384,0.8415,0.8384
naive_bayes,4000,0.5590,0.8449,0.8475,0.8449
naive_bayes,5000,0.5663,0.8551,0.8565,0.8551
naive_bayes,6000,0.5597,0.8694,0.8705,0.8694
naive_bayes,7000,0.5601,0.8742,0.8750,0.8742
naive_bayes,8000,0.5611,0.8825,0.8835,0.8825
naive_bayes,9000,0.5636,0.8874,0.8883,0.8874
naive_bayes,10000,0.5586,0.8891,0.8900,0.8891
naive_bayes,11000,0.5607,0.8874,0.8883,0.8874
naive_bayes,12000,0.5587,0.8864,0.8873,0.8864
naive_bayes,13000,0.5635,0.8887,0.8896,0.8887
naive_bayes,14000,0.5647,0.8855,0.8866,0.8855
naive_bayes,15000,0.5777,0.8844,0.8854,0.8844
naive_bayes,16000,0.5650,0.8859,0.8868,0.8859
naive_bayes,17000,0.5562,0.8864,0.8873,0.8864
naive_bayes,18000,0.5802,0.8881,0.8890,0.8881
naive_bayes,19000,0.5713,0.8885,0.8894,0.8885
naive_bayes,20000,0.5568,0.8891,0.8900,0.8891
lda,1000,0.0333,0.7873,0.7873,0.7873
lda,2000,0.0189,0.8733,0.8734,0.8733
lda,3000,0.0170,0.8935,0.8938,0.8935
lda,4000,0.0198,0.8854,0.8856,0.8854
lda,5000,0.0170,0.8905,0.8905,0.8905
lda,6000,0.0307,0.9025,0.9027,0.9025
lda,7000,0.0266,0.9124,0.9126,0.9124
lda,8000,0.0182,0.9208,0.9208,0.9208
lda,9000,0.0356,0.9237,0.9238,0.9237
lda,10000,0.0243,0.9279,0.9279,0.9279
lda,11000,0.0224,0.9261,0.9261,0.9261
lda,12000,0.0300,0.9245,0.9246,0.9245
lda,13000,0.0295,0.9242,0.9243,0.9242
lda,14000,0.0194,0.9220,0.9221,0.9220
lda,15000,0.0193,0.9208,0.9209,0.9208
